T+00:00:17.68||(altitude = 3766.360110930167, velocity = 335.5390000062403, thrust = 7473.4263f0, mass = 273.30386f0, drag = 704.870394300858)
T+00:00:17.96||(altitude = 3860.730129168369, velocity = 339.77016588102424, thrust = 7307.8916f0, mass = 272.26196f0, drag = 716.1076523923654)
T+00:00:18.24||(altitude = 3956.2936941608787, velocity = 344.0823572539299, thrust = 7440.8047f0, mass = 271.212f0, drag = 727.445786139133)
T+00:00:18.52||(altitude = 4053.066630189307, velocity = 348.38898028364326, thrust = 7441.3877f0, mass = 270.1645f0, drag = 739.53873702117)
T+00:00:18.80||(altitude = 4151.045636096969, velocity = 352.6964744465176, thrust = 7442.0034f0, mass = 269.11646f0, drag = 751.8170626244329)
T+00:00:19.08||(altitude = 4250.231844406575, velocity = 356.97036104958613, thrust = 7238.0156f0, mass = 268.07196f0, drag = 764.5743863950007)
T+00:00:19.36||(altitude = 4350.605216026306, velocity = 361.2100299364111, thrust = 7213.35f0, mass = 267.04254f0, drag = 777.3958225234757)
T+00:00:19.64||(altitude = 4452.162157261744, velocity = 365.4417860097577, thrust = 7432.9272f0, mass = 266.01407f0, drag = 790.5073666727027)
T+00:00:19.92||(altitude = 4554.906185556203, velocity = 369.96980742817203, thrust = 7292.5537f0, mass = 264.9863f0, drag = 805.9873503087832)
T+00:00:20.24||(altitude = 4666.309243140742, velocity = 373.94436345562013, thrust = 7551.5957f0, mass = 263.9577f0, drag = 818.0121433247728)
T+00:00:20.56||(altitude = 4779.100794650614, velocity = 379.2750033435961, thrust = 7562.563f0, mass = 262.7707f0, drag = 835.2329255780992)
T+00:00:20.84||(altitude = 4900.968881782144, velocity = 383.98269887336085, thrust = 7598.4487f0, mass = 261.5875f0, drag = 854.4433297693388)
T+00:00:21.12||(altitude = 5008.918054232374, velocity = 388.38613987304404, thrust = 7345.11f0, mass = 260.55255f0, drag = 872.298787756647)
T+00:00:21.40||(altitude = 5118.113387933932, velocity = 392.8892024905723, thrust = 7567.212f0, mass = 259.5081f0, drag = 891.3428155350681)
T+00:00:21.68||(altitude = 5228.568129554391, velocity = 397.3430813649558, thrust = 7406.0376f0, mass = 258.46573f0, drag = 911.8461413230199)
T+00:00:21.96||(altitude = 5340.275376454927, velocity = 401.84211692460127, thrust = 7670.9917f0, mass = 257.42648f0, drag = 937.973451680452)
T+00:00:22.24||(altitude = 5453.237669950351, velocity = 406.30791254125995, thrust = 7586.31f0, mass = 256.38864f0, drag = 966.6774857682989)
T+00:00:22.56||(altitude = 5575.659884604625, velocity = 410.79751334486787, thrust = 7523.629f0, mass = 255.27365f0, drag = 995.6747656106129)
T+00:00:22.84||(altitude = 5699.526083506644, velocity = 415.9624163877087, thrust = 7470.7944f0, mass = 254.16037f0, drag = 1029.288265968332)
T+00:00:23.12||(altitude = 5816.446643280797, velocity = 420.4832822432184, thrust = 7346.982f0, mass = 253.11858f0, drag = 1058.7482898366525)
T+00:00:23.40||(altitude = 5934.624671282247, velocity = 424.98059367750125, thrust = 7507.429f0, mass = 252.08278f0, drag = 1087.9295701821711)
T+00:00:23.68||(altitude = 6054.064234194346, velocity = 429.47161446002985, thrust = 7474.555f0, mass = 251.04333f0, drag = 1116.7884165329017)
T+00:00:23.00||(altitude = 6174.763275815174, velocity = 434.3067898653443, thrust = 7605.9536f0, mass = 249.9323f0, drag = 1145.2785537698696)
T+00:00:24.28||(altitude = 6314.24795462098, velocity = 439.10000273620983, thrust = 7604.9863f0, mass = 248.82463f0, drag = 1177.2298203873972)
T+00:00:24.56||(altitude = 6437.64182174392, velocity = 443.61367283769374, thrust = 7598.9683f0, mass = 247.79102f0, drag = 1208.1011157016287)
T+00:00:24.88||(altitude = 6589.176944850013, velocity = 448.748250770283, thrust = 7658.7725f0, mass = 246.60576f0, drag = 1234.721933823228)
T+00:00:25.16||(altitude = 6706.311900003813, velocity = 453.2759449330405, thrust = 7429.6353f0, mass = 245.5711f0, drag = 1260.4535367497379)
T+00:00:25.44||(altitude = 6833.686153209768, velocity = 457.88904437533773, thrust = 7471.0176f0, mass = 244.53214f0, drag = 1288.1356108039029)
T+00:00:25.72||(altitude = 6962.351068449207, velocity = 462.54942910707683, thrust = 7494.4473f0, mass = 243.4893f0, drag = 1307.9090914263993)
T+00:00:25.00||(altitude = 7092.3277831971645, velocity = 467.1942444114611, thrust = 7521.9624f0, mass = 242.443f0, drag = 1331.787661300709)
T+00:00:26.28||(altitude = 7223.604658354074, velocity = 471.8707689883876, thrust = 7737.438f0, mass = 241.40215f0, drag = 1355.528036184614)
T+00:00:26.56||(altitude = 7356.193551252596, velocity = 476.54807767706643, thrust = 7661.8574f0, mass = 240.3554f0, drag = 1379.6055682332967)
T+00:00:26.84||(altitude = 7490.091373028234, velocity = 481.2111837548835, thrust = 7651.637f0, mass = 239.3139f0, drag = 1403.6147798265658)
T+00:00:27.12||(altitude = 7625.289987944998, velocity = 485.8329822122337, thrust = 7767.793f0, mass = 238.27779f0, drag = 1427.8226245968424)
T+00:00:27.40||(altitude = 7761.78564079199, velocity = 490.50428250465575, thrust = 7540.151f0, mass = 237.24098f0, drag = 1451.5108154485063)
T+00:00:27.68||(altitude = 7899.58112130221, velocity = 495.10252320226874, thrust = 7611.286f0, mass = 236.20683f0, drag = 1475.4230641800973)
T+00:00:27.96||(altitude = 8038.668797957711, velocity = 500.1194996172799, thrust = 7535.291f0, mass = 235.17477f0, drag = 1498.8945917907895)
T+00:00:28.24||(altitude = 8179.075337802991, velocity = 504.4984367763685, thrust = 7736.7803f0, mass = 234.13318f0, drag = 1522.9353567206074)
T+00:00:28.52||(altitude = 8320.800242062658, velocity = 509.2202982182103, thrust = 7868.3647f0, mass = 233.09772f0, drag = 1546.9575158811376)
T+00:00:28.80||(altitude = 8463.858382203616, velocity = 513.9980061745441, thrust = 7665.621f0, mass = 232.0542f0, drag = 1570.7509434489814)
T+00:00:29.08||(altitude = 8608.244552599266, velocity = 518.7325057205136, thrust = 7755.5796f0, mass = 231.01706f0, drag = 1594.256681277475)
T+00:00:29.36||(altitude = 8753.961066682823, velocity = 523.4784636999321, thrust = 7572.9106f0, mass = 229.97891f0, drag = 1617.272385495997)
T+00:00:29.64||(altitude = 8900.997412283905, velocity = 528.1620546750869, thrust = 7748.881f0, mass = 228.94803f0, drag = 1639.444454886479)
T+00:00:29.92||(altitude = 9049.350464588962, velocity = 532.9366408042067, thrust = 7572.8022f0, mass = 227.917f0, drag = 1660.817951008338)
T+00:00:30.20||(altitude = 9199.047564797103, velocity = 537.7339183178839, thrust = 7810.52f0, mass = 226.87775f0, drag = 1682.1383570508283)
T+00:00:30.48||(altitude = 9350.095863864757, velocity = 542.5842188848084, thrust = 7664.541f0, mass = 225.83748f0, drag = 1702.923963969039)
T+00:00:30.76||(altitude = 9502.503679408692, velocity = 547.5006665411483, thrust = 7603.9355f0, mass = 224.79532f0, drag = 1723.1189918355863)
T+00:00:31.04||(altitude = 9656.28455804661, velocity = 552.3909068104451, thrust = 7555.8706f0, mass = 223.758f0, drag = 1742.9293794851035)
T+00:00:31.32||(altitude = 9811.429698606022, velocity = 557.2481846460016, thrust = 7519.671f0, mass = 222.72203f0, drag = 1761.1749429574818)
T+00:00:31.60||(altitude = 9967.928088196553, velocity = 562.0551822079686, thrust = 7874.981f0, mass = 221.69153f0, drag = 1777.8611112051976)
T+00:00:31.88||(altitude = 10125.788912882097, velocity = 566.9306994502964, thrust = 7584.7285f0, mass = 220.65623f0, drag = 1793.5853201440636)
T+00:00:32.16||(altitude = 10285.005384146236, velocity = 571.7887993565607, thrust = 7714.5244f0, mass = 219.63103f0, drag = 1807.4535009713911)
T+00:00:32.44||(altitude = 10445.588989803568, velocity = 576.6904251815432, thrust = 7924.822f0, mass = 218.60019f0, drag = 1819.9960655708398)
T+00:00:32.72||(altitude = 10607.552298066206, velocity = 581.6765888186844, thrust = 7781.794f0, mass = 217.56755f0, drag = 1831.402455432355)
T+00:00:32.00||(altitude = 10770.912848463282, velocity = 586.6950549074344, thrust = 7665.6924f0, mass = 216.53432f0, drag = 1841.3129988084709)
T+00:00:33.28||(altitude = 10935.692082781345, velocity = 591.8676403323461, thrust = 7882.3296f0, mass = 215.4947f0, drag = 1849.7579167900317)
T+00:00:33.56||(altitude = 11101.917678428814, velocity = 597.0057874121302, thrust = 7866.349f0, mass = 214.45293f0, drag = 1856.3324404621978)
T+00:00:33.88||(altitude = 11293.658815936185, velocity = 602.9034564475236, thrust = 7813.621f0, mass = 213.26848f0, drag = 1859.6825018713466)
T+00:00:34.16||(altitude = 11462.980881067924, velocity = 608.0765196520007, thrust = 7709.19f0, mass = 212.23384f0, drag = 1859.9277856068468)
T+00:00:34.44||(altitude = 11633.752856088802, velocity = 613.3048654610726, thrust = 7740.985f0, mass = 211.20206f0, drag = 1858.3815978512719)
T+00:00:34.72||(altitude = 11806.003833004273, velocity = 618.6981307322395, thrust = 7775.9937f0, mass = 210.16313f0, drag = 1856.4030901720364)
T+00:00:34.00||(altitude = 11979.765813898295, velocity = 624.0527737075787, thrust = 7699.184f0, mass = 209.12491f0, drag = 1854.303033323643)
T+00:00:35.28||(altitude = 12155.032201374881, velocity = 629.4611411509094, thrust = 7681.4023f0, mass = 208.08815f0, drag = 1850.8622586223416)
T+00:00:35.60||(altitude = 12344.505705339834, velocity = 634.9677931725436, thrust = 7886.0464f0, mass = 207.05475f0, drag = 1846.7182023986434)
T+00:00:35.84||(altitude = 12510.157481513917, velocity = 640.6081719223853, thrust = 7844.8887f0, mass = 206.013f0, drag = 1841.3917323561411)
T+00:00:36.12||(altitude = 12690.07466307655, velocity = 646.683906551308, thrust = 8085.496f0, mass = 204.97115f0, drag = 1836.9123416002653)
T+00:00:36.40||(altitude = 12871.595973875374, velocity = 652.0411814683945, thrust = 7821.5186f0, mass = 203.92456f0, drag = 1831.2433789434965)
T+00:00:36.68||(altitude = 13054.73473895993, velocity = 657.8090029149852, thrust = 7737.8213f0, mass = 202.87993f0, drag = 1824.6333049940317)
T+00:00:36.96||(altitude = 13239.485321041197, velocity = 664.004041998624, thrust = 7764.201f0, mass = 201.84465f0, drag = 1816.9389194952814)
T+00:00:37.24||(altitude = 13425.85993300099, velocity = 669.375541978289, thrust = 7937.7305f0, mass = 200.80905f0, drag = 1808.2837494109433)
T+00:00:37.52||(altitude = 13613.856852436438, velocity = 675.1912200037257, thrust = 7881.8335f0, mass = 199.77989f0, drag = 1798.609098421556)
T+00:00:37.80||(altitude = 13803.490425200202, velocity = 681.0905425129034, thrust = 7883.7964f0, mass = 198.75021f0, drag = 1788.0341824522768)
T+00:00:38.08||(altitude = 14008.522456661798, velocity = 687.1579621035376, thrust = 8013.621f0, mass = 197.71431f0, drag = 1776.7794196068176)
T+00:00:38.36||(altitude = 14187.794893653132, velocity = 693.248757352888, thrust = 7830.6973f0, mass = 196.67854f0, drag = 1765.1092778826155)
T+00:00:38.64||(altitude = 14396.474984686822, velocity = 699.825781933724, thrust = 7983.9336f0, mass = 195.64804f0, drag = 1752.4664549515164)
T+00:00:38.92||(altitude = 14578.938691441901, velocity = 705.5995869082941, thrust = 7698.645f0, mass = 194.61278f0, drag = 1738.9999703775209)
T+00:00:39.20||(altitude = 14777.123472877778, velocity = 711.945097733044, thrust = 7710.419f0, mass = 193.50345f0, drag = 1722.5293027098946)
T+00:00:39.48||(altitude = 14977.089333249256, velocity = 718.3697765843972, thrust = 7952.0737f0, mass = 192.54541f0, drag = 1709.6642154348503)
T+00:00:39.84||(altitude = 15207.83731411118, velocity = 725.7825032206339, thrust = 7691.781f0, mass = 191.43396f0, drag = 1694.1254994783512)
T+00:00:40.12||(altitude = 15440.978706591763, velocity = 733.3785538910549, thrust = 8102.437f0, mass = 190.17441f0, drag = 1672.3775133309925)
T+00:00:40.44||(altitude = 15646.98533587996, velocity = 740.1653043599155, thrust = 7997.278f0, mass = 189.05968f0, drag = 1654.6073290292059)
T+00:00:40.68||(altitude = 15854.900527039543, velocity = 747.00805178849, thrust = 7894.9014f0, mass = 188.08994f0, drag = 1633.0513839890468)
T+00:00:40.96||(altitude = 16064.732225195505, velocity = 753.9112512471532, thrust = 7767.4033f0, mass = 187.054f0, drag = 1615.7002426922243)
T+00:00:41.24||(altitude = 16276.505117218941, velocity = 760.8313194271399, thrust = 7868.8174f0, mass = 185.9457f0, drag = 1594.6847373860091)
T+00:00:41.52||(altitude = 16490.23353146389, velocity = 767.9574516693983, thrust = 7900.6636f0, mass = 184.98012f0, drag = 1572.532022550402)
T+00:00:41.84||(altitude = 16705.95701641403, velocity = 775.1186865542826, thrust = 7838.6743f0, mass = 183.94414f0, drag = 1549.5927792856883)
T+00:00:42.12||(altitude = 16954.963589673862, velocity = 783.452089418512, thrust = 8067.952f0, mass = 182.76184f0, drag = 1522.2735493233554)
T+00:00:42.40||(altitude = 17175.050982337445, velocity = 790.8587751943525, thrust = 8098.526f0, mass = 181.72116f0, drag = 1498.0391578253787)
T+00:00:42.68||(altitude = 17397.231230133213, velocity = 798.4004070478793, thrust = 7933.996f0, mass = 180.6815f0, drag = 1473.0681852488374)
T+00:00:42.96||(altitude = 17621.527927379124, velocity = 806.5995766623787, thrust = 7912.9565f0, mass = 179.64282f0, drag = 1447.4251664861144)
T+00:00:43.24||(altitude = 17847.96417774912, velocity = 813.6955547124932, thrust = 8106.2783f0, mass = 178.60867f0, drag = 1421.317454491552)
T+00:00:43.52||(altitude = 18076.564299761318, velocity = 821.5117439978719, thrust = 8031.9624f0, mass = 177.49605f0, drag = 1390.77361394581)
T+00:00:43.80||(altitude = 18307.357020969503, velocity = 829.4101815451268, thrust = 7946.427f0, mass = 176.53615f0, drag = 1367.5703309856567)
T+00:00:44.08||(altitude = 18540.3805936696, velocity = 837.4232228924789, thrust = 7877.6265f0, mass = 175.42534f0, drag = 1340.2760265408178)
T+00:00:44.40||(altitude = 18809.455290388316, velocity = 846.7988487260825, thrust = 7842.832f0, mass = 174.31569f0, drag = 1304.7319762931838)
T+00:00:44.68||(altitude = 19064.449458938092, velocity = 855.1394537074533, thrust = 7909.961f0, mass = 173.27654f0, drag = 1280.9413013471435)
T+00:00:44.96||(altitude = 19287.620578967966, velocity = 863.546143703105, thrust = 7967.69f0, mass = 172.1652f0, drag = 1253.2084377932013)
T+00:00:45.24||(altitude = 19530.244091020897, velocity = 872.1009540782977, thrust = 7966.3887f0, mass = 171.20135f0, drag = 1221.214691609981)
T+00:00:45.60||(altitude = 19810.47623496782, velocity = 881.937864630138, thrust = 8002.9775f0, mass = 170.09174f0, drag = 1197.3089333454252)
T+00:00:45.84||(altitude = 20058.28457184322, velocity = 890.8254858718848, thrust = 7955.994f0, mass = 168.97876f0, drag = 1166.8311806294046)
T+00:00:46.12||(altitude = 20308.58387083467, velocity = 899.779161026788, thrust = 7900.6357f0, mass = 167.93904f0, drag = 1147.1043798267456)
T+00:00:46.44||(altitude = 20597.72404737957, velocity = 910.1287606853396, thrust = 8176.5596f0, mass = 166.75157f0, drag = 1120.8075785438311)
T+00:00:46.72||(altitude = 20853.45151379984, velocity = 919.274079549317, thrust = 7868.195f0, mass = 165.71382f0, drag = 1098.0569349767604)
T+00:00:47.04||(altitude = 21111.747112466022, velocity = 928.5100166388237, thrust = 8008.253f0, mass = 164.67924f0, drag = 1075.3359612431586)
T+00:00:47.32||(altitude = 21391.389034106396, velocity = 939.335068942802, thrust = 7828.9526f0, mass = 163.63963f0, drag = 1052.8669277734434)
T+00:00:47.64||(altitude = 21674.065444225445, velocity = 949.4866806529853, thrust = 7901.107f0, mass = 162.4561f0, drag = 1024.276066223193)
T+00:00:47.88||(altitude = 21940.66162462253, velocity = 958.3492643013584, thrust = 7873.4585f0, mass = 161.34868f0, drag = 1002.4431528096483)
T+00:00:48.16||(altitude = 22209.941885548644, velocity = 968.0380343322859, thrust = 7948.6074f0, mass = 160.39525f0, drag = 983.6859556591573)
T+00:00:48.48||(altitude = 22481.94763546437, velocity = 977.8556052202136, thrust = 7909.039f0, mass = 159.362f0, drag = 958.9878423684681)
T+00:00:48.72||(altitude = 22756.71376073826, velocity = 987.808933086307, thrust = 8131.593f0, mass = 158.33281f0, drag = 940.6577606350861)
T+00:00:49.04||(altitude = 23034.289527949877, velocity = 998.0195817091964, thrust = 7950.7637f0, mass = 157.29625f0, drag = 919.5484456805549)
T+00:00:49.28||(altitude = 23314.738445059396, velocity = 1008.4147231467781, thrust = 7846.851f0, mass = 156.25688f0, drag = 898.8474093081796)
T+00:00:49.64||(altitude = 23638.83869671356, velocity = 1020.40630881968, thrust = 7866.044f0, mass = 155.2093f0, drag = 878.3708914292251)
T+00:00:49.88||(altitude = 23946.178832333535, velocity = 1031.752507533686, thrust = 8067.741f0, mass = 153.95041f0, drag = 852.309126054928)
T+00:00:50.16||(altitude = 24236.101973813027, velocity = 1042.339419113869, thrust = 7924.827f0, mass = 152.99307f0, drag = 835.0592329432923)
T+00:00:50.48||(altitude = 24550.03052582126, velocity = 1053.8492508627808, thrust = 8007.6265f0, mass = 151.7446f0, drag = 811.9576242624486)
T+00:00:50.80||(altitude = 24867.445034173317, velocity = 1065.3082070051066, thrust = 0.0f0, mass = 150.7834f0, drag = 792.2455977333236)
T+00:00:51.20||(altitude = 25229.008385446854, velocity = 1059.9581201999758, thrust = 0.0f0, mass = 150.41367f0, drag = 757.7979780787201)
